scene_id,scene_title,voiceover,scene_description,prompt,filename
11,Everyday Embedded AI,You interact with AI far more often than you might realize,A day unfolds around the learner. Navigation updates during a drive. Music suggestions change on a phone. A shopping site recommends products. A support chat answers a question. Each system appears as part of normal daily routine,"anime-inspired, soft realistic style, clean linework, natural daylight lighting, warm neutral tones, muted but brighter color palette, calm and clear atmosphere, minimal composition, cinematic framing with gentle negative space, shallow depth of field, slow subtle motion, grounded real-world setting, no exaggerated expressions, consistent recurring characters, same learner character with short dark hair, neutral clothing, calm focused demeanor, same professional character slightly older, composed posture, clean simple clothing. A day unfolds around the learner. Navigation updates during a drive. Music suggestions change on a phone. A shopping site recommends products. A support chat answers a question. Each system appears as part of normal daily routine. Slow camera movement. No text on screen.",11_everyday_embedded_ai.mp4
12,Bias and Failure,AI systems can inherit bias from their training data and they can fail when conditions change,The learner reviews results on a laptop. At first the outputs look smooth and consistent. Then a new input appears that does not fit the earlier pattern. The system responds poorly. The learner pauses and notices the mismatch,"anime-inspired, soft realistic style, clean linework, natural daylight lighting, warm neutral tones, muted but brighter color palette, calm and clear atmosphere, minimal composition, cinematic framing with gentle negative space, shallow depth of field, slow subtle motion, grounded real-world setting, no exaggerated expressions, consistent recurring characters, same learner character with short dark hair, neutral clothing, calm focused demeanor, same professional character slightly older, composed posture, clean simple clothing. The learner reviews results on a laptop. At first the outputs look smooth and consistent. Then a new input appears that does not fit the earlier pattern. The system responds poorly. The learner pauses and notices the mismatch. Slow camera movement. No text on screen.",12_bias_and_failure.mp4
13,Hallucination,Language models can produce answers that sound plausible but are wrong,The learner reads a polished answer on a laptop screen. Their expression stays calm. Small inconsistencies appear in dates facts and details. The learner leans in and notices that confidence and accuracy do not always match,"anime-inspired, soft realistic style, clean linework, natural daylight lighting, warm neutral tones, muted but brighter color palette, calm and clear atmosphere, minimal composition, cinematic framing with gentle negative space, shallow depth of field, slow subtle motion, grounded real-world setting, no exaggerated expressions, consistent recurring characters, same learner character with short dark hair, neutral clothing, calm focused demeanor, same professional character slightly older, composed posture, clean simple clothing. The learner reads a polished answer on a laptop screen. Their expression stays calm. Small inconsistencies appear in dates facts and details. The learner leans in and notices that confidence and accuracy do not always match. Slow camera movement. No text on screen.",13_hallucination.mp4
14,Data,First data is the foundation It consists of examples the system learns from,The learner sits at a desk as raw materials appear around them in visual form. Text documents images sensor traces and transaction records gather into one organized workspace. The learner looks at the variety of inputs that can train a system,"anime-inspired, soft realistic style, clean linework, natural daylight lighting, warm neutral tones, muted but brighter color palette, calm and clear atmosphere, minimal composition, cinematic framing with gentle negative space, shallow depth of field, slow subtle motion, grounded real-world setting, no exaggerated expressions, consistent recurring characters, same learner character with short dark hair, neutral clothing, calm focused demeanor, same professional character slightly older, composed posture, clean simple clothing. The learner sits at a desk as raw materials appear around them in visual form. Text documents images sensor traces and transaction records gather into one organized workspace. The learner looks at the variety of inputs that can train a system. Slow camera movement. No text on screen.",14_data.mp4
15,Features,Features are measurable characteristics extracted from data,The raw materials on the desk begin to simplify into patterns. Words highlight into clusters. Image regions become shapes. Sensor traces reduce into clear signals. The learner sees raw data turn into usable traits,"anime-inspired, soft realistic style, clean linework, natural daylight lighting, warm neutral tones, muted but brighter color palette, calm and clear atmosphere, minimal composition, cinematic framing with gentle negative space, shallow depth of field, slow subtle motion, grounded real-world setting, no exaggerated expressions, consistent recurring characters, same learner character with short dark hair, neutral clothing, calm focused demeanor, same professional character slightly older, composed posture, clean simple clothing. The raw materials on the desk begin to simplify into patterns. Words highlight into clusters. Image regions become shapes. Sensor traces reduce into clear signals. The learner sees raw data turn into usable traits. Slow camera movement. No text on screen.",15_features.mp4
16,Labels,Labels are the correct answers used during training,The learner reviews a set of examples on screen. Some emails are marked spam and others safe. Several images are grouped into known categories. The idea of correct examples becomes visible through simple marked cases,"anime-inspired, soft realistic style, clean linework, natural daylight lighting, warm neutral tones, muted but brighter color palette, calm and clear atmosphere, minimal composition, cinematic framing with gentle negative space, shallow depth of field, slow subtle motion, grounded real-world setting, no exaggerated expressions, consistent recurring characters, same learner character with short dark hair, neutral clothing, calm focused demeanor, same professional character slightly older, composed posture, clean simple clothing. The learner reviews a set of examples on screen. Some emails are marked spam and others safe. Several images are grouped into known categories. The idea of correct examples becomes visible through simple marked cases. Slow camera movement. No text on screen.",16_labels.mp4
17,Model,The model is the mathematical structure that maps inputs to outputs,Above the learner's notebook a clean structured form assembles from the labeled examples. Inputs flow in on one side and outputs appear on the other. The learner watches the model take shape as a stable pattern,"anime-inspired, soft realistic style, clean linework, natural daylight lighting, warm neutral tones, muted but brighter color palette, calm and clear atmosphere, minimal composition, cinematic framing with gentle negative space, shallow depth of field, slow subtle motion, grounded real-world setting, no exaggerated expressions, consistent recurring characters, same learner character with short dark hair, neutral clothing, calm focused demeanor, same professional character slightly older, composed posture, clean simple clothing. Above the learner's notebook a clean structured form assembles from the labeled examples. Inputs flow in on one side and outputs appear on the other. The learner watches the model take shape as a stable pattern. Slow camera movement. No text on screen.",17_model.mp4
18,Loss and Optimization,Loss measures error and optimization reduces that error over time,The learner watches a prediction miss the correct answer. A visual meter signals the gap. The model adjusts slightly. A second attempt comes closer. After several rounds the error shrinks. The learner sees improvement through repeated correction,"anime-inspired, soft realistic style, clean linework, natural daylight lighting, warm neutral tones, muted but brighter color palette, calm and clear atmosphere, minimal composition, cinematic framing with gentle negative space, shallow depth of field, slow subtle motion, grounded real-world setting, no exaggerated expressions, consistent recurring characters, same learner character with short dark hair, neutral clothing, calm focused demeanor, same professional character slightly older, composed posture, clean simple clothing. The learner watches a prediction miss the correct answer. A visual meter signals the gap. The model adjusts slightly. A second attempt comes closer. After several rounds the error shrinks. The learner sees improvement through repeated correction. Slow camera movement. No text on screen.",18_loss_and_optimization.mp4
19,Human in the Loop,The most effective AI systems often augment human decision making instead of replacing it,The professional appears in a clean office with natural light. They review a system recommendation on a laptop. They pause think and adjust the outcome before confirming it. The system updates after the human decision,"anime-inspired, soft realistic style, clean linework, natural daylight lighting, warm neutral tones, muted but brighter color palette, calm and clear atmosphere, minimal composition, cinematic framing with gentle negative space, shallow depth of field, slow subtle motion, grounded real-world setting, no exaggerated expressions, consistent recurring characters, same learner character with short dark hair, neutral clothing, calm focused demeanor, same professional character slightly older, composed posture, clean simple clothing. The professional appears in a clean office with natural light. They review a system recommendation on a laptop. They pause think and adjust the outcome before confirming it. The system updates after the human decision. Slow camera movement. No text on screen.",19_human_in_the_loop.mp4
20,High Stakes Oversight,This matters most in settings like healthcare finance and hiring where mistakes have real consequences,The professional sits in a more formal setting and reviews an unusual system result. A case gets flagged for review instead of automatic action. The professional examines it carefully before moving forward. The scene emphasizes restraint and oversight,"anime-inspired, soft realistic style, clean linework, natural daylight lighting, warm neutral tones, muted but brighter color palette, calm and clear atmosphere, minimal composition, cinematic framing with gentle negative space, shallow depth of field, slow subtle motion, grounded real-world setting, no exaggerated expressions, consistent recurring characters, same learner character with short dark hair, neutral clothing, calm focused demeanor, same professional character slightly older, composed posture, clean simple clothing. The professional sits in a more formal setting and reviews an unusual system result. A case gets flagged for review instead of automatic action. The professional examines it carefully before moving forward. The scene emphasizes restraint and oversight. Slow camera movement. No text on screen.",20_high_stakes_oversight.mp4
21,Multiple Stakeholders,Every AI system affects users operators data contributors and society more broadly,A flowing sequence moves through several perspectives. The learner uses an app. The professional monitors the system. Background images suggest many unseen people whose data and lives connect to the system. The sequence links these groups into one chain,"anime-inspired, soft realistic style, clean linework, natural daylight lighting, warm neutral tones, muted but brighter color palette, calm and clear atmosphere, minimal composition, cinematic framing with gentle negative space, shallow depth of field, slow subtle motion, grounded real-world setting, no exaggerated expressions, consistent recurring characters, same learner character with short dark hair, neutral clothing, calm focused demeanor, same professional character slightly older, composed posture, clean simple clothing. A flowing sequence moves through several perspectives. The learner uses an app. The professional monitors the system. Background images suggest many unseen people whose data and lives connect to the system. The sequence links these groups into one chain. Slow camera movement. No text on screen.",21_multiple_stakeholders.mp4
22,Fairness Privacy Transparency,When you evaluate AI you also need to ask whether the system is fair private and understandable,The learner and professional appear in alternating scenes. One scene shows balanced outcomes across different people. Another shows sensitive data kept secure. Another shows a decision process opened up for inspection. The style stays calm and practical,"anime-inspired, soft realistic style, clean linework, natural daylight lighting, warm neutral tones, muted but brighter color palette, calm and clear atmosphere, minimal composition, cinematic framing with gentle negative space, shallow depth of field, slow subtle motion, grounded real-world setting, no exaggerated expressions, consistent recurring characters, same learner character with short dark hair, neutral clothing, calm focused demeanor, same professional character slightly older, composed posture, clean simple clothing. The learner and professional appear in alternating scenes. One scene shows balanced outcomes across different people. Another shows sensitive data kept secure. Another shows a decision process opened up for inspection. The style stays calm and practical. Slow camera movement. No text on screen.",22_fairness_privacy_transparency.mp4
23,Looking Past the Demo,When you see an AI demo ask what inputs were chosen what constraints are hidden and what happens when the system fails,The professional watches a polished demo on a large screen. Everything works smoothly. Then the view shifts to messy incomplete and unusual inputs. The system hesitates. The professional studies the edge cases instead of the polished surface,"anime-inspired, soft realistic style, clean linework, natural daylight lighting, warm neutral tones, muted but brighter color palette, calm and clear atmosphere, minimal composition, cinematic framing with gentle negative space, shallow depth of field, slow subtle motion, grounded real-world setting, no exaggerated expressions, consistent recurring characters, same learner character with short dark hair, neutral clothing, calm focused demeanor, same professional character slightly older, composed posture, clean simple clothing. The professional watches a polished demo on a large screen. Everything works smoothly. Then the view shifts to messy incomplete and unusual inputs. The system hesitates. The professional studies the edge cases instead of the polished surface. Slow camera movement. No text on screen.",23_looking_past_the_demo.mp4
24,Closing Chain,AI systems learn patterns from data They make predictions Those predictions influence decisions and those decisions affect people,The learner and professional appear in connected scenes. Data flows into a model. The model produces a prediction. The professional makes a decision. The result appears in the learner's everyday world. The full chain remains visible from start to finish,"anime-inspired, soft realistic style, clean linework, natural daylight lighting, warm neutral tones, muted but brighter color palette, calm and clear atmosphere, minimal composition, cinematic framing with gentle negative space, shallow depth of field, slow subtle motion, grounded real-world setting, no exaggerated expressions, consistent recurring characters, same learner character with short dark hair, neutral clothing, calm focused demeanor, same professional character slightly older, composed posture, clean simple clothing. The learner and professional appear in connected scenes. Data flows into a model. The model produces a prediction. The professional makes a decision. The result appears in the learner's everyday world. The full chain remains visible from start to finish. Slow camera movement. No text on screen.",24_closing_chain.mp4
